Tiempo_s              Voltaje_Original      Presion_mmHg          Voltaje_Filtrado
0.00000000           0.01137500           1.57327625           0.00000319          
0.00781250           0.01112500           1.53869875           -0.00009233         
0.01562500           0.01112500           1.53869875           -0.00016355         
0.02343750           0.01118800           1.54741228           -0.00019536         
0.03125000           0.01118800           1.54741228           -0.00018719         
0.03906250           0.01112500           1.53869875           -0.00015253         
0.04687500           0.01118800           1.54741228           -0.00011281         
0.05468750           0.01118800           1.54741228           -0.00008837         
0.06250000           0.01112500           1.53869875           -0.00009036         
0.07031250           0.01112500           1.53869875           -0.00011680         
0.07812500           0.01106300           1.53012353           -0.00015436         
0.08593750           0.01106300           1.53012353           -0.00018476         
0.09375000           0.01100000           1.52141000           -0.00019295         
0.10156250           0.01106300           1.53012353           -0.00017350         
0.10937500           0.01100000           1.52141000           -0.00013272         
0.11718750           0.01106300           1.53012353           -0.00008568         
0.12500000           0.01112500           1.53869875           -0.00004989         
0.13281250           0.01112500           1.53869875           -0.00003835         
0.14062500           0.01106300           1.53012353           -0.00005506         
0.14843750           0.01100000           1.52141000           -0.00009451         
0.15625000           0.01100000           1.52141000           -0.00014521         
0.16406250           0.01093700           1.51269647           -0.00019511         
0.17187500           0.01081200           1.49540772           -0.00023666         
0.17968750           0.01081200           1.49540772           -0.00026902         
0.18750000           0.01075000           1.48683250           -0.00029688         
0.19531250           0.01081200           1.49540772           -0.00032670         
0.20312500           0.01068700           1.47811897           -0.00036234         
0.21093750           0.01062500           1.46954375           -0.00040215         
0.21875000           0.01062500           1.46954375           -0.00043906         
0.22656250           0.01056300           1.46096853           -0.00046329         
0.23437500           0.01056300           1.46096853           -0.00046667         
0.24218750           0.01062500           1.46954375           -0.00044642         
0.25000000           0.01056300           1.46096853           -0.00040685         
0.25781250           0.01068700           1.47811897           -0.00035825         
0.26562500           0.01068700           1.47811897           -0.00031357         
0.27343750           0.01075000           1.48683250           -0.00028430         
0.28125000           0.01075000           1.48683250           -0.00027707         
0.28906250           0.01068700           1.47811897           -0.00029227         
0.29687500           0.01068700           1.47811897           -0.00032477         
0.30468750           0.01062500           1.46954375           -0.00036615         
0.31250000           0.01056300           1.46096853           -0.00040749         
0.32031250           0.01056300           1.46096853           -0.00044143         
0.32812500           0.01056300           1.46096853           -0.00046335         
0.33593750           0.01050000           1.45225500           -0.00047134         
0.34375000           0.01050000           1.45225500           -0.00046571         
0.35156250           0.01062500           1.46954375           -0.00044833         
0.35937500           0.01050000           1.45225500           -0.00042218         
0.36718750           0.01062500           1.46954375           -0.00039100         
0.37500000           0.01056300           1.46096853           -0.00035876         
0.38281250           0.01062500           1.46954375           -0.00032894         
0.39062500           0.01068700           1.47811897           -0.00030357         
0.39843750           0.01075000           1.48683250           -0.00028256         
0.40625000           0.01075000           1.48683250           -0.00026362         
0.41406250           0.01075000           1.48683250           -0.00024324         
0.42187500           0.01068700           1.47811897           -0.00021823         
0.42968750           0.01068700           1.47811897           -0.00018742         
0.43750000           0.01081200           1.49540772           -0.00015251         
0.44531250           0.01087500           1.50412125           -0.00011771         
0.45312500           0.01093700           1.51269647           -0.00008800         
0.46093750           0.01087500           1.50412125           -0.00006681         
0.46875000           0.01087500           1.50412125           -0.00005405         
0.47656250           0.01087500           1.50412125           -0.00004555         
0.48437500           0.01087500           1.50412125           -0.00003435         
0.49218750           0.01087500           1.50412125           -0.00001332         
0.50000000           0.01093700           1.51269647           0.00002180          
0.50781250           0.01100000           1.52141000           0.00007048          
0.51562500           0.01106300           1.53012353           0.00012723          
0.52343750           0.01100000           1.52141000           0.00018368          
0.53125000           0.01112500           1.53869875           0.00023181          
0.53906250           0.01118800           1.54741228           0.00026707          
0.54687500           0.01112500           1.53869875           0.00029004          
0.55468750           0.01106300           1.53012353           0.00030589          
0.56250000           0.01112500           1.53869875           0.00032187          
0.57031250           0.01112500           1.53869875           0.00034394          
0.57812500           0.01125000           1.55598750           0.00037415          
0.58593750           0.01118800           1.54741228           0.00040977          
0.59375000           0.01118800           1.54741228           0.00044469          
0.60156250           0.01125000           1.55598750           0.00047229          
0.60937500           0.01112500           1.53869875           0.00048852          
0.61718750           0.01112500           1.53869875           0.00049385          
0.62500000           0.01118800           1.54741228           0.00049311          
0.63281250           0.01118800           1.54741228           0.00049337          
0.64062500           0.01118800           1.54741228           0.00050101          
0.64843750           0.01112500           1.53869875           0.00051906          
0.65625000           0.01106300           1.53012353           0.00054631          
0.66406250           0.01112500           1.53869875           0.00057832          
0.67187500           0.01118800           1.54741228           0.00060993          
0.67968750           0.01112500           1.53869875           0.00063807          
0.68750000           0.01112500           1.53869875           0.00066347          
0.69531250           0.01118800           1.54741228           0.00069056          
0.70312500           0.01118800           1.54741228           0.00072556          
0.71093750           0.01118800           1.54741228           0.00077354          
0.71875000           0.01118800           1.54741228           0.00083596          
0.72656250           0.01125000           1.55598750           0.00090960          
0.73437500           0.01131200           1.56456272           0.00098738          
0.74218750           0.01143800           1.58198978           0.00106088          
0.75000000           0.01143800           1.58198978           0.00112319          
0.75781250           0.01143800           1.58198978           0.00117114          
0.76562500           0.01137500           1.57327625           0.00120589          
0.77343750           0.01143800           1.58198978           0.00123164          
0.78125000           0.01150000           1.59056500           0.00125322          
0.78906250           0.01150000           1.59056500           0.00127346          
0.79687500           0.01150000           1.59056500           0.00129159          
0.80468750           0.01150000           1.59056500           0.00130324          
0.81250000           0.01137500           1.57327625           0.00130215          
0.82031250           0.01131200           1.56456272           0.00128282          
0.82812500           0.01137500           1.57327625           0.00124322          
0.83593750           0.01137500           1.57327625           0.00118636          
0.84375000           0.01131200           1.56456272           0.00112022          
0.85156250           0.01125000           1.55598750           0.00105602          
0.85937500           0.01100000           1.52141000           0.00100519          
0.86718750           0.01106300           1.53012353           0.00097623          
0.87500000           0.01106300           1.53012353           0.00097227          
0.88281250           0.01106300           1.53012353           0.00099024          
0.89062500           0.01131200           1.56456272           0.00102182          
0.89843750           0.01125000           1.55598750           0.00105598          
0.90625000           0.01131200           1.56456272           0.00108223          
0.91406250           0.01131200           1.56456272           0.00109361          
0.92187500           0.01125000           1.55598750           0.00108836          
0.92968750           0.01125000           1.55598750           0.00106977          
0.93750000           0.01143800           1.58198978           0.00104409          
0.94531250           0.01143800           1.58198978           0.00101746          
0.95312500           0.01143800           1.58198978           0.00099282          
0.96093750           0.01143800           1.58198978           0.00096816          
0.96875000           0.01143800           1.58198978           0.00093688          
0.97656250           0.01143800           1.58198978           0.00089020          
0.98437500           0.01150000           1.59056500           0.00082083          
0.99218750           0.01150000           1.59056500           0.00072643          
1.00000000           0.01143800           1.58198978           0.00061125          
1.00781250           0.01137500           1.57327625           0.00048538          
1.01562500           0.01131200           1.56456272           0.00036143          
1.02343750           0.01137500           1.57327625           0.00025008          
1.03125000           0.01137500           1.57327625           0.00015626          
1.03906250           0.01143800           1.58198978           0.00007746          
1.04687500           0.01143800           1.58198978           0.00000500          
1.05468750           0.01150000           1.59056500           -0.00007227         
1.06250000           0.01150000           1.59056500           -0.00016346         
1.07031250           0.01150000           1.59056500           -0.00027228         
1.07812500           0.01156300           1.59927853           -0.00039631         
1.08593750           0.01162500           1.60785375           -0.00052915         
1.09375000           0.01168800           1.61656728           -0.00066444         
1.10156250           0.01168800           1.61656728           -0.00079975         
1.10937500           0.01162500           1.60785375           -0.00093843         
1.11718750           0.01168800           1.61656728           -0.00108847         
1.12500000           0.01175000           1.62514250           -0.00125888         
1.13281250           0.01168800           1.61656728           -0.00145526         
1.14062500           0.01168800           1.61656728           -0.00167676         
1.14843750           0.01162500           1.60785375           -0.00191604         
1.15625000           0.01162500           1.60785375           -0.00216224         
1.16406250           0.01168800           1.61656728           -0.00240568         
1.17187500           0.01162500           1.60785375           -0.00264199         
1.17968750           0.01156300           1.59927853           -0.00287362         
1.18750000           0.01156300           1.59927853           -0.00310791         
1.19531250           0.01150000           1.59056500           -0.00335270         
1.20312500           0.01156300           1.59927853           -0.00361165         
